country,scientific_name,state,presentation,factor,note,reference
Norway,Gadus morhua,FRE,GUT,1.18,gutted head on,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,GUH,1.5,gutted head off round cut,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,GUH,1.55,gutted head off right cut,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,GUH,1.74,gutted head off earbone off,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,FSB,2.65,fillet skin on with bone,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,OTH,2.84,fillet skin off with bone,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,OTH,2.95,fillet skin on boneless,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,FIS,3.25,fillet skin off boneless,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,OTH,3.16,fillet skin on boneless no bellyflap,EU Council Website Third Country Info
Norway,Gadus morhua,FRE,OTH,3.43,fillet skin off boneless no bellyflap,EU Council Website Third Country Info
Norway,Gadus morhua,SAL,WHL,2.55,salted whole,EU Council Website Third Country Info
Norway,Gadus morhua,SAL,FIL,3.5,salted fillet,EU Council Website Third Country Info
Norway,Gadus morhua,DRI,,6.41,dried unsalted whole,EU Council Website Third Country Info
Norway,Gadus morhua,DRI,,3.65,dried salted whole,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,GUT,1.2,gutted head on,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,GUH,1.4,gutted head off round cut,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,GUH,1.7,gutted head off earbone off,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,GUH,1.7,gutted head off japancut,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,FSB,2.8,fillet skin on with bone,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,FIL,2.8,fillet skin on boneless,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,FSP,2.8,fillet skin off with bone,EU Council Website Third Country Info
Norway,Merluccius merluccius,FRE,FIS,2.8,fillet skin off boneless,EU Council Website Third Country Info
Norway,Merluccius merluccius,SAL,WHL,2.38,salted whole,EU Council Website Third Country Info
Norway,Merluccius merluccius,SAL,FIL,2.8,salted fillet,EU Council Website Third Country Info
Norway,Merluccius merluccius,DRI,,5.6,dried unsalted whole,EU Council Website Third Country Info
Norway,Merluccius merluccius,DRI,,3.4,dried salted whole,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,GUH,1.5,gutted head off,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,HEA,1.7,head off,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,GUH,1.5,gutted head off round cut,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,GUH,1.55,gutted head off straight cut,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,GUH,1.8,gutted head off straight cut without collabrbone,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,JAP,1.9,japan cut,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,FIS,3.25,fillet skin off without pinbone,EU Council Website Third Country Info
Greenland,Gadus morhua,FRE,FSP,2.9,fillet skin off with pinbone,EU Council Website Third Country Info
Greenland,Gadus morhua,SAL,SAL,2.7,cut wet salted,EU Council Website Third Country Info
Greenland,Gadus morhua,SAL,SAD,3.3,cut dry salted,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,GUT,1.18,gutted head on,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,GUH,1.5,gutted head off,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,JAP,1.8,japan cut,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,FSB,2.6,fillet skin on with bone,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,FSP,2.9,fillet skin off with bone,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,FIL,2.95,fillet skin on boneless,EU Council Website Third Country Info
Faroe Islands,Gadus morhua,FRE,FIS,3.25,fillet skin off boneless,EU Council Website Third Country Info
