country,scientific_name,state,presentation,factor,note,reference
Belgium,Lophiidae,,,,see list of CCF,EU Council Regulations Annex
Belgium,Thunnus thynnus,,,,see ICCAT website,EU Council Regulations Annex
Belgium,Molva dypterygia,,,,see list of CCF,EU Council Regulations Annex
Belgium,Scophthalmus rhombus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Aphanopus carbo,,,,see list of CCF,EU Council Regulations Annex
Belgium,Makaira nigricans,,,,see list of CCF,EU Council Regulations Annex
Belgium,Mallotus villosus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Gadus morhua,,,,see list of CCF,EU Council Regulations Annex
Belgium,Squalus acanthias,,,,see list of CCF,EU Council Regulations Annex
Belgium,Platichthys flesus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Melanogrammus aeglefinus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Clupea harengus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Merluccius merluccius,,,,see list of CCF,EU Council Regulations Annex
Belgium,Trachurus spp,,,,see list of CCF,EU Council Regulations Annex
Belgium,Microstomus kitt,,,,see list of CCF,EU Council Regulations Annex
Belgium,Lepidorhombus spp,,,,see list of CCF,EU Council Regulations Annex
Belgium,Molva molva,,,,see list of CCF,EU Council Regulations Annex
Belgium,Scomber scombrus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Nephrops norvegicus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Hoplostethus atlanticus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Pleuronectes platessa,,,,see list of CCF,EU Council Regulations Annex
Belgium,Pollachius virens,,,,see list of CCF,EU Council Regulations Annex
Belgium,Pollachius pollachius,,,,see list of CCF,EU Council Regulations Annex
Belgium,Rajidae,,,,see list of CCF,EU Council Regulations Annex
Belgium,Sebastes spp,,,,see list of CCF,EU Council Regulations Annex
Belgium,Coryphaenoides rupestris,,,,see list of CCF,EU Council Regulations Annex
Belgium,Ammodytes spp,,,,see list of CCF,EU Council Regulations Annex
Belgium,Pagellus bogaraveo,,,,see list of CCF,EU Council Regulations Annex
Belgium,Solea vulgaris,,,,see list of CCF,EU Council Regulations Annex
Belgium,Sprattus sprattus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Xiphias gladius,,,,see list of CCF,EU Council Regulations Annex
Belgium,Psetta maxima maxima,,,,see list of CCF,EU Council Regulations Annex
Belgium,Brosme brosme,,,,see list of CCF,EU Council Regulations Annex
Belgium,Micromesistius poutassou,,,,see list of CCF,EU Council Regulations Annex
Belgium,Merlangius merlangus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Tetrapturus albidus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Glyptocephalus cynoglossus,,,,see list of CCF,EU Council Regulations Annex
Belgium,Limanda ferruginea,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Thunnus thynnus,,,,see ICCAT website,EU Council Regulations Annex
Cyprus,Molva dypterygia,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Aphanopus carbo,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Makaira nigricans,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Mallotus villosus,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Gadus morhua,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Hoplostethus atlanticus,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Coryphaenoides rupestris,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Ammodytes spp,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Pagellus bogaraveo,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Xiphias gladius,FRE,DWT,1.3,"listed as 1,30",EU Council Regulations Annex
Cyprus,Xiphias gladius,FRE,GUG,1.12,,EU Council Regulations Annex
Cyprus,Brosme brosme,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Micromesistius poutassou,,,,see list of CCF,EU Council Regulations Annex
Cyprus,Tetrapturus albidus,,,,see list of CCF,EU Council Regulations Annex
Germany,Lophiidae,FRE,WHL,,see list of CCF,EU Council Regulations Annex
