species,fishreg,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
AAA,0,TLW,IE	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AAA,34,TLW,IE	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AAS,0,TLW,DK	: 	: 	: 	0.03 	: 	: 	0.23 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 	0.01 	0.01 	0 	0 
AAS,0,TLW,EU27_2020	: 	: 	: 	0.03 	: 	: 	0.23 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 	0.01 	0.01 	0 	0 
AAS,0,TLW,EU28	: 	: 	: 	0.03 	: 	: 	0.23 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 	0.01 	0.01 	0 	0 
AAS,27,TLW,DK	: 	: 	: 	0.03 	: 	: 	0.23 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 	0.01 	0.01 	0 	0 
AAS,27,TLW,EU27_2020	: 	: 	: 	0.03 	: 	: 	0.23 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 	0.01 	0.01 	0 	0 
AAS,27,TLW,EU28	: 	: 	: 	0.03 	: 	: 	0.23 	: 	: 	: 	: 	: 	: 	: 	0 	0.01 	0.01 	0.01 	0 	0 
ABK,0,TLW,DK	: 	: 	: 	0.03 	0.06 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,EE	34.959 	36.706 	31.963 	29.262 	29.774 	30.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,EU27_2020	: 	68.4235 	51.652 e	42.3369 	69.928 	31.8415 	54.681 	31.241 	47.91 	1.3 	1.3 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,EU28	: 	68.4235 	51.652 e	42.337 	69.928 	31.842 	54.681 	31.241 	47.91 	1.3 	1.3 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,LT	: 	: 	0.34 	0.017 	: 	0.002 	0.117 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,LV	0.88 	0.37 	0.16 	0.15 	4.92 	1.37 	0.49 	0.47 	1.71 	1.3 	1.3 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,NL	: 	: 	: 	: 	0 	0 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,0,TLW,PL	: 	31.348 	19.19 	12.878 	35.174 	: 	54.074 	30.771 	44.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,DK	: 	: 	: 	0.03 	0.06 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,EE	34.959 	36.706 	31.963 	29.262 	29.774 	30.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,EU27_2020	: 	68.4235 	51.652 e	42.3369 	69.928 	31.8415 	54.681 	31.241 	47.91 	1.3 	1.3 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,EU28	: 	68.4235 	51.652 e	42.337 	69.928 	31.842 	54.681 	31.241 	47.91 	1.3 	1.3 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,LT	: 	: 	0.34 	0.017 	: 	0.002 	0.117 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,LV	0.88 	0.37 	0.16 	0.15 	4.92 	1.37 	0.49 	0.47 	1.71 	1.3 	1.3 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,NL	: 	: 	: 	: 	0 	0 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABK,27,TLW,PL	: 	31.348 	19.19 	12.878 	35.174 	: 	54.074 	30.771 	44.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABX,0,TLW,EU27_2020	: 	: 	: 	: 	: 	5.08 	0.011 	2.853 	: 	: 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 
ABX,0,TLW,EU28	: 	: 	: 	: 	: 	5.08 	0.011 	2.853 	: 	: 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 
ABX,0,TLW,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 
ABX,0,TLW,PT	: 	: 	: 	: 	: 	5.08 	0.011 	2.853 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABX,27,TLW,EU27_2020	: 	: 	: 	: 	: 	4.84 	0.011 	2.853 	: 	: 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 
ABX,27,TLW,EU28	: 	: 	: 	: 	: 	4.84 	0.011 	2.853 	: 	: 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 
ABX,27,TLW,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 
ABX,27,TLW,PT	: 	: 	: 	: 	: 	4.84 	0.011 	2.853 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABX,34,TLW,EU27_2020	: 	: 	: 	: 	: 	0.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABX,34,TLW,EU28	: 	: 	: 	: 	: 	0.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABX,34,TLW,PT	: 	: 	: 	: 	: 	0.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
