species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ANE,FRE,HCN,EUR,BG,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12206.7693 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE,HCN,EUR,EU,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12206.7693 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE,HCN,EUR,TOTAL,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12206.7693 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE,HCN,EUR_T,BG,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	689.648 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE,HCN,EUR_T,EU,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	689.648 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE,HCN,EUR_T,TOTAL,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	689.648 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE,HCN,TPW,BG,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	17.7 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE,HCN,TPW,EU,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	17.7 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE,HCN,TPW,TOTAL,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	17.7 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE,TOTAL,EUR,BG,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12206.7693 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE,TOTAL,EUR,EU,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12206.7693 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE,TOTAL,EUR,TOTAL,BG	5424.2658 	3654.3541 e	59287.0283 	8564.27 	207106.5552 	5229.5223 	6115.1445 	12206.7693 	48596.9939 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE,TOTAL,EUR_T,BG,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	689.648 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE,TOTAL,EUR_T,EU,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	689.648 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE,TOTAL,EUR_T,TOTAL,BG	1140.1984 	1019.8862 e	1109.1846 	685.1416 	557.3373 	526.6387 	687.0949 	689.648 	754.6117 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE,TOTAL,TPW,BG,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	17.7 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE,TOTAL,TPW,EU,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	17.7 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE,TOTAL,TPW,TOTAL,BG	4.7573 	3.5831 e	53.451 	12.5 	371.6 	9.93 	8.9 	17.7 	64.4 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE_NSP,HCN,EUR,BG,BG	: 	38.3475 e	15.339 	: 	843.6446 	: 	204.5199 	0 	268.4324 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,EUR,EU,BG	: 	38.3475 e	15.339 	: 	843.6446 	: 	204.5199 	0 	268.4324 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,EUR,TOTAL,BG	: 	38.3475 e	15.339 	: 	843.6446 	: 	204.5199 	0 	268.4324 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,EUR_T,BG,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,EUR_T,EU,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,EUR_T,TOTAL,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,TPW,BG,BG	: 	0.15 e	0.03 	: 	1.5 	: 	0.4 	0.4 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,TPW,EU,BG	: 	0.15 e	0.03 	: 	1.5 	: 	0.4 	0.4 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_NSP,HCN,TPW,TOTAL,BG	: 	0.15 e	0.03 	: 	1.5 	: 	0.4 	0.4 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,EUR,BG,BG	: 	38.3475 e	15.339 	: 	843.6446 	: 	204.5199 	0 	268.4324 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,EUR,EU,BG	: 	38.3475 e	15.339 	: 	843.6446 	: 	204.5199 	0 	268.4324 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,EUR,TOTAL,BG	: 	38.3475 e	15.339 	: 	843.6446 	: 	204.5199 	0 	268.4324 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,EUR_T,BG,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,EUR_T,EU,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
