species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
ALB,FRE,HCN,EUR,CY,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,FRE,HCN,EUR,EU,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,FRE,HCN,EUR,TOTAL,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,FRE,HCN,EUR_T,CY,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
ALB,FRE,HCN,EUR_T,EU,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
ALB,FRE,HCN,EUR_T,TOTAL,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
ALB,FRE,HCN,TPW,CY,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
ALB,FRE,HCN,TPW,EU,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
ALB,FRE,HCN,TPW,TOTAL,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
ALB,FRE,TOTAL,EUR,CY,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,FRE,TOTAL,EUR,EU,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,FRE,TOTAL,EUR,TOTAL,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,FRE,TOTAL,EUR_T,CY,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
