species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABK,FRE,HCN,EUR,EE,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE,HCN,EUR,EU,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE,HCN,EUR,TOTAL,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE,HCN,EUR_T,EE,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE,HCN,EUR_T,EU,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE,HCN,EUR_T,TOTAL,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE,HCN,TPW,EE,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE,HCN,TPW,EU,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE,HCN,TPW,TOTAL,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE,TOTAL,EUR,EE,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE,TOTAL,EUR,EU,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE,TOTAL,EUR,TOTAL,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE,TOTAL,EUR_T,EE,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE,TOTAL,EUR_T,EU,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE,TOTAL,EUR_T,TOTAL,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE,TOTAL,TPW,EE,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE,TOTAL,TPW,EU,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE,TOTAL,TPW,TOTAL,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE_WHL,HCN,EUR,EE,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE_WHL,HCN,EUR,EU,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE_WHL,HCN,EUR,TOTAL,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE_WHL,HCN,EUR_T,EE,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE_WHL,HCN,EUR_T,EU,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE_WHL,HCN,EUR_T,TOTAL,EE	90.1203 	97.672 	78.5861 	110.41 	131.31 	117.65 	107.09 	116.2 	91.43 	69.82 	68.52 	71.58 	: 	: 
ABK,FRE_WHL,HCN,TPW,EE,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE_WHL,HCN,TPW,EU,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE_WHL,HCN,TPW,TOTAL,EE	36.7063 	31.9619 	29.2619 	29.77 	30.44 	30.91 	33.25 	22.52 	21.6 	22.98 	33.13 	38.77 	: 	: 
ABK,FRE_WHL,TOTAL,EUR,EE,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE_WHL,TOTAL,EUR,EU,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
ABK,FRE_WHL,TOTAL,EUR,TOTAL,EE	3307.9828 	3121.782 	2299.5791 	3286.9057 	3997.0764 	3636.5615 	3560.7425 	2616.824 	1974.888 	1604.4636 	2270.0676 	2775.1566 	: 	: 
