species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ALB,FRE,HCN,EUR,EL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,EUR,EU,EL	2162183.76 p	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,EUR,TOTAL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,EUR_T,EL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,EUR_T,EU,EL	3964.4 p	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,EUR_T,TOTAL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,TPW,EL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,TPW,EU,EL	545.4 p	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,HCN,TPW,TOTAL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR,EL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR,EU,EL	2162183.76 p	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR,TOTAL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR_T,EL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR_T,EU,EL	3964.4 p	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR_T,TOTAL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,TPW,EL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,TPW,EU,EL	545.4 p	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE,TOTAL,TPW,TOTAL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR,EL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR,EU,EL	2162183.76 p	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR,TOTAL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR_T,EL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR_T,EU,EL	3964.4 p	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
