species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
AHH,FRE,HCN,EUR,EU,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,FRE,HCN,EUR,HR,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,FRE,HCN,EUR,TOTAL,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,FRE,HCN,EUR_T,EU,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,FRE,HCN,EUR_T,HR,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,FRE,HCN,EUR_T,TOTAL,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,FRE,HCN,TPW,EU,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,FRE,HCN,TPW,HR,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,FRE,HCN,TPW,TOTAL,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,FRE,TOTAL,EUR,EU,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,FRE,TOTAL,EUR,HR,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,FRE,TOTAL,EUR,TOTAL,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,FRE,TOTAL,EUR_T,EU,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,FRE,TOTAL,EUR_T,HR,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,FRE,TOTAL,EUR_T,TOTAL,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
