species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
ARU,FRE,HCN,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,HCN,EUR,EFTA,IS	168292.386 	208006.5652 	1255518.2805 	1568207.758 	752559.06 	1078659.0457 	2340278.1767 	151708.3409 	103379.3202 	122697.3644 	69304.561 	166705.6423 	11536.3122 	4080.965 	17708.3832 	876.0318 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE,HCN,EUR,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,HCN,EUR,IS,IS	168292.386 	208006.5652 	1255518.2805 	1568207.758 	752559.06 	1078659.0457 	2340278.1767 	151708.3409 	103379.3202 	122697.3644 	69304.561 	166705.6423 	11536.3122 	4080.965 	17708.3832 	876.0318 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE,HCN,EUR,TOTAL,IS	168292.386 	208006.5652 	1255518.2805 	1568207.758 	752559.06 	1078659.0457 	2340278.1767 	151708.3409 	103379.3202 	122697.3644 	334634.4876 	166705.6423 	11536.3122 	4080.965 	17708.3832 	876.0318 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE,HCN,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,HCN,EUR_T,EFTA,IS	295.2498 	479.2778 	616.9623 	737.633 	442.6818 	628.0285 	815.8259 	565.4429 	590.4016 	325.4572 	262.2193 	633.3801 	313.4867 	326.4772 	694.4464 	35.182 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE,HCN,EUR_T,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,HCN,EUR_T,IS,IS	295.2498 	479.2778 	616.9623 	737.633 	442.6818 	628.0285 	815.8259 	565.4429 	590.4016 	325.4572 	262.2193 	633.3801 	313.4867 	326.4772 	694.4464 	35.182 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE,HCN,EUR_T,TOTAL,IS	295.2498 	479.2778 	616.9623 	737.633 	442.6818 	628.0285 	815.8259 	565.4429 	590.4016 	325.4572 	397.4281 	633.3801 	313.4867 	326.4772 	694.4464 	35.182 	279.6009 	633.6227 	: 	: 	: 
ARU,FRE,HCN,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	577.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
