species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
AGK,FRE,HCN,EUR,EU,IT	627.42 p	45555.64 	55229.58 	120979.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,EUR,IT,IT	627.42 p	45555.64 	55229.58 	120979.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,EUR,TOTAL,IT	627.42 p	45555.64 	55229.58 	120979.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,EUR_T,EU,IT	3137.1 p	4951.7 	4844.7 	5425.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,EUR_T,IT,IT	3137.1 p	4951.7 	4844.7 	5425.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,EUR_T,TOTAL,IT	3137.1 p	4951.7 	4844.7 	5425.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,TPW,EU,IT	0.2 p	9.2 	11.4 	22.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,TPW,IT,IT	0.2 p	9.2 	11.4 	22.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,HCN,TPW,TOTAL,IT	0.2 p	9.2 	11.4 	22.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,TOTAL,EUR,EU,IT	627.42 p	45555.64 	55229.58 	120979.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,TOTAL,EUR,IT,IT	627.42 p	45555.64 	55229.58 	120979.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,TOTAL,EUR,TOTAL,IT	627.42 p	45555.64 	55229.58 	120979.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,TOTAL,EUR_T,EU,IT	3137.1 p	4951.7 	4844.7 	5425.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,TOTAL,EUR_T,IT,IT	3137.1 p	4951.7 	4844.7 	5425.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,FRE,TOTAL,EUR_T,TOTAL,IT	3137.1 p	4951.7 	4844.7 	5425.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
