species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABK,FRE,HCN,EUR,EU,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR,LT,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR,TOTAL,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR_T,EU,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR_T,LT,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR_T,TOTAL,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,TPW,EU,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,TPW,LT,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,FRE,HCN,TPW,TOTAL,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR,EU,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR,LT,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR,TOTAL,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR_T,EU,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR_T,LT,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
