species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
ABZ,FRE,HCN,EUR,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR,EU,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR,MT,MT	123.6013 	302 	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR,TOTAL,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,EU,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,MT,MT	3987.138 	6565.217 	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,TOTAL,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,EU,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,MT,MT	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,TOTAL,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
