species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABK,FRE,HCN,EUR,EU,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR,PL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR,TOTAL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR_T,EU,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR_T,PL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE,HCN,EUR_T,TOTAL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE,HCN,TPW,EU,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,FRE,HCN,TPW,PL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,FRE,HCN,TPW,TOTAL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR,EU,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR,PL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR,TOTAL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR_T,EU,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR_T,PL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,EUR_T,TOTAL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,TPW,EU,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,TPW,PL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,FRE,TOTAL,TPW,TOTAL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,FRE_NSP,HCN,TPW,EU,PL	: 	: 	: 	: 	: 	: 	: 	44.2 	: 	: 	: 	: 	: 	: 
ABK,FRE_NSP,HCN,TPW,PL,PL	: 	: 	: 	: 	: 	: 	: 	44.2 	: 	: 	: 	: 	: 	: 
ABK,FRE_NSP,HCN,TPW,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	44.2 	: 	: 	: 	: 	: 	: 
ABK,FRE_NSP,TOTAL,TPW,EU,PL	: 	: 	: 	: 	: 	: 	: 	44.2 	: 	: 	: 	: 	: 	: 
ABK,FRE_NSP,TOTAL,TPW,PL,PL	: 	: 	: 	: 	: 	: 	: 	44.2 	: 	: 	: 	: 	: 	: 
ABK,FRE_NSP,TOTAL,TPW,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	44.2 	: 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,EUR,EU,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3689.0193 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,EUR,PL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3689.0193 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,EUR,TOTAL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3689.0193 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,EUR_T,EU,PL	146.7418 	176.6176 	114.5948 	211.276 	183.7344 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,EUR_T,PL,PL	146.7418 	176.6176 	114.5948 	211.276 	183.7344 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,EUR_T,TOTAL,PL	146.7418 	176.6176 	114.5948 	211.276 	183.7344 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,TPW,EU,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	: 	71.5 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,TPW,PL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	: 	71.5 	: 	: 	: 	: 	: 
ABK,FRE_WHL,HCN,TPW,TOTAL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	: 	71.5 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,EUR,EU,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,EUR,PL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,EUR,TOTAL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,EUR_T,EU,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,EUR_T,PL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,EUR_T,TOTAL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,TPW,EU,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	: 	71.5 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,TPW,PL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	: 	71.5 	: 	: 	: 	: 	: 
ABK,FRE_WHL,TOTAL,TPW,TOTAL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	: 	71.5 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR,EU,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR,PL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR,TOTAL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,EU,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,PL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,TOTAL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,EU,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,PL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,TOTAL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,EU,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,PL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,TOTAL,PL	4599.9152 	3389.1151 	1475.7518 	7431.422 	3696.3518 	12888.6217 	7389.0615 	: 	17003.7797 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,EU,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,PL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,TOTAL,PL	146.7418 	176.6176 	114.5948 	211.276 	184.0996 	238.237 	238.9658 	: 	237.8151 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,EU,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,PL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,TOTAL,PL	31.347 	19.189 	12.878 	35.174 	20.078 	54.1 	30.921 	44.2 	71.5 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR,EU,PL	71914.9473 	50181.1538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR,PL,PL	71914.9473 	50181.1538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR,TOTAL,PL	71914.9473 	50181.1538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,EU,PL	152.7846 	137.2476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,PL,PL	152.7846 	137.2476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,TOTAL,PL	152.7846 	137.2476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,EU,PL	470.695 	365.625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,PL,PL	470.695 	365.625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,HCN,TPW,TOTAL,PL	470.695 	365.625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,EUR,EU,PL	1510.7357 	1549.8524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,EUR,PL,PL	1510.7357 	1549.8524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,EUR,TOTAL,PL	1510.7357 	1549.8524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,EUR_T,EU,PL	140.7955 	130.2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,EUR_T,PL,PL	140.7955 	130.2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,EUR_T,TOTAL,PL	140.7955 	130.2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,TPW,EU,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,TPW,PL,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,IND,TPW,TOTAL,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,EUR,EU,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,EUR,PL,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,EUR,TOTAL,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,EUR_T,EU,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,EUR_T,PL,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,EUR_T,TOTAL,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,TPW,EU,PL	481.425 	377.525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,TPW,PL,PL	481.425 	377.525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE,TOTAL,TPW,TOTAL,PL	481.425 	377.525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR,EU,PL	71914.9473 	50181.1538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR,PL,PL	71914.9473 	50181.1538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR,TOTAL,PL	71914.9473 	50181.1538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR_T,EU,PL	152.7846 	137.2476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR_T,PL,PL	152.7846 	137.2476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR_T,TOTAL,PL	152.7846 	137.2476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,TPW,EU,PL	470.695 	365.625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,TPW,PL,PL	470.695 	365.625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,TPW,TOTAL,PL	470.695 	365.625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,EUR,EU,PL	1510.7357 	1549.8524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,EUR,PL,PL	1510.7357 	1549.8524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,EUR,TOTAL,PL	1510.7357 	1549.8524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,EUR_T,EU,PL	140.7955 	130.2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,EUR_T,PL,PL	140.7955 	130.2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,EUR_T,TOTAL,PL	140.7955 	130.2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,TPW,EU,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,TPW,PL,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,IND,TPW,TOTAL,PL	10.73 	11.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR,EU,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR,PL,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR,TOTAL,PL	73425.683 	51731.0062 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,EU,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,PL,PL	152.5174 	137.0267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
