species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
ANE,FRE,HCN,EUR,EU,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE,HCN,EUR,RO,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE,HCN,EUR,TOTAL,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE,HCN,EUR_T,EU,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE,HCN,EUR_T,RO,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE,HCN,EUR_T,TOTAL,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE,HCN,TPW,EU,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE,HCN,TPW,RO,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE,HCN,TPW,TOTAL,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE,TOTAL,EUR,EU,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE,TOTAL,EUR,RO,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE,TOTAL,EUR,TOTAL,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE,TOTAL,EUR_T,EU,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE,TOTAL,EUR_T,RO,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE,TOTAL,EUR_T,TOTAL,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE,TOTAL,TPW,EU,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE,TOTAL,TPW,RO,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE,TOTAL,TPW,TOTAL,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE_WHL,HCN,EUR,EU,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	73024.7307 	106735.692 	17895.1861 	42157.1518 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE_WHL,HCN,EUR,RO,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	73024.7307 	106735.692 	17895.1861 	42157.1518 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE_WHL,HCN,EUR,TOTAL,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	73024.7307 	106735.692 	17895.1861 	42157.1518 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE_WHL,HCN,EUR_T,EU,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1237.7073 	961.7561 	941.8519 	1033.2382 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE_WHL,HCN,EUR_T,RO,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1237.7073 	961.7561 	941.8519 	1033.2382 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE_WHL,HCN,EUR_T,TOTAL,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1237.7073 	961.7561 	941.8519 	1033.2382 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE_WHL,HCN,TPW,EU,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE_WHL,HCN,TPW,RO,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE_WHL,HCN,TPW,TOTAL,RO	31.5 	27.28 e	102.42 	111.964 	59 	110.98 	19 	40.801 	48.192 	21 	15 	39 	9.7 
ANE,FRE_WHL,TOTAL,EUR,EU,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE_WHL,TOTAL,EUR,RO,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE_WHL,TOTAL,EUR,TOTAL,RO	35330.8977 	37975.1349 e	134114.9137 	132229.0473 	72700.7971 	106735.692 	17895.1861 	43184.0069 	47594.7758 	18969.7872 	13930.3755 	35079.3027 	6877.8713 
ANE,FRE_WHL,TOTAL,EUR_T,EU,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE_WHL,TOTAL,EUR_T,RO,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
ANE,FRE_WHL,TOTAL,EUR_T,TOTAL,RO	1121.6158 	1392.0504 e	1309.4602 	1180.9961 	1232.2169 	961.7561 	941.8519 	1058.4056 	987.6074 	903.3232 	928.6917 	899.4693 	709.0589 
