"t","i","j","k","v","q","exporter_iso3c","importer_iso3c","importer","exporter","importer_region","exporter_region"
2018,410,24,30354,15.616,26.256,"KOR","AGO","Middle Africa","Eastern Asia","Africa","Asia"
2018,410,36,30354,158.866507311725,38.164179429919,"KOR","AUS","Australia and New Zealand","Eastern Asia","Oceania","Asia"
2018,410,90,30354,82.4991172675678,352.141833898647,"KOR","SLB","Melanesia","Eastern Asia","Oceania","Asia"
2018,410,124,30354,56.5530387991571,13.0591783593422,"KOR","CAN","Northern America","Eastern Asia","North America","Asia"
2018,410,144,30354,393.209,360.56,"KOR","LKA","Southern Asia","Eastern Asia","Asia","Asia"
2018,410,152,30354,6.3782138569423,72.4543238175766,"KOR","CHL","South America","Eastern Asia","South America","Asia"
2018,410,156,30354,5670.11184940707,6475.46858580777,"KOR","CHN","Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,174,30354,60.75,75,"KOR","COM","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,204,30354,466.749289011362,538.111142424742,"KOR","BEN","Western Africa","Eastern Asia","Africa","Asia"
2018,410,242,30354,37.3940470439505,85.7634992323906,"KOR","FJI","Melanesia","Eastern Asia","Oceania","Asia"
2018,410,251,30354,2.30573479002814,1.53,"KOR","FRA","Western Europe","Eastern Asia","Europe","Asia"
2018,410,266,30354,58.32,54,"KOR","GAB","Middle Africa","Eastern Asia","Africa","Asia"
2018,410,288,30354,7355.89621761385,11466.0958733566,"KOR","GHA","Western Africa","Eastern Asia","Africa","Asia"
2018,410,296,30354,50.013,12.356,"KOR","KIR","Micronesia","Eastern Asia","Oceania","Asia"
2018,410,316,30354,3.531,0.9,"KOR","GUM","Micronesia","Eastern Asia","Oceania","Asia"
2018,410,344,30354,56.8111743424001,48.4363647617341,"KOR","HKG","Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,360,30354,117.228141245889,99.5919776469926,"KOR","IDN","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,368,30354,61.702,12.8,"KOR","IRQ","Western Asia","Eastern Asia","Asia","Asia"
2018,410,384,30354,2415.07158874794,2351.63283108516,"KOR","CIV","Western Africa","Eastern Asia","Africa","Asia"
2018,410,392,30354,1887.56356907347,1271.76812630087,"KOR","JPN","Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,400,30354,19.6,26,"KOR","JOR","Western Asia","Eastern Asia","Asia","Asia"
2018,410,404,30354,785.241188378478,1092.9896230667,"KOR","KEN","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,414,30354,5.07066514222202,5.21051574754967,"KOR","KWT","Western Asia","Eastern Asia","Asia","Asia"
2018,410,418,30354,5.967,1.023,"KOR","LAO","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,430,30354,7.5,30,"KOR","LBR","Western Africa","Eastern Asia","Africa","Asia"
2018,410,440,30354,32.3530151606255,27,"KOR","LTU","Northern Europe","Eastern Asia","Europe","Asia"
2018,410,458,30354,192.742152818782,20.2692401607772,"KOR","MYS","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,478,30354,138.896,280.5,"KOR","MRT","Western Africa","Eastern Asia","Africa","Asia"
2018,410,480,30354,178.205,151.7,"KOR","MUS","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,496,30354,1.27845629892746,0.234,"KOR","MNG","Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,508,30354,159.791176367461,331.336459777116,"KOR","MOZ","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,548,30354,64.241,66.98,"KOR","VUT","Melanesia","Eastern Asia","Oceania","Asia"
2018,410,554,30354,5.87980028175586,0.64,"KOR","NZL","Australia and New Zealand","Eastern Asia","Oceania","Asia"
2018,410,566,30354,13468.0985113269,16300.3577557266,"KOR","NGA","Western Africa","Eastern Asia","Africa","Asia"
2018,410,604,30354,99.668,131.87,"KOR","PER","South America","Eastern Asia","South America","Asia"
2018,410,608,30354,1759.26701085288,2236.2629184245,"KOR","PHL","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,620,30354,224.572112766788,480.206199725765,"KOR","PRT","Southern Europe","Eastern Asia","Europe","Asia"
2018,410,634,30354,3.406,0.55,"KOR","QAT","Western Asia","Eastern Asia","Asia","Asia"
2018,410,643,30354,818.055218403144,924.176624044592,"KOR","RUS","Eastern Europe","Eastern Asia","Europe","Asia"
2018,410,646,30354,356.76,416,"KOR","RWA","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,682,30354,2.54,1,"KOR","SAU","Western Asia","Eastern Asia","Asia","Asia"
2018,410,690,30354,1115.665,1007.85,"KOR","SYC","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,699,30354,112.276,96.79,"KOR","IND","Southern Asia","Eastern Asia","Asia","Asia"
2018,410,702,30354,147.998409211783,321.173439879946,"KOR","SGP","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,704,30354,4716.144,5120.455,"KOR","VNM","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,711,30354,298.724,265,"KOR","ZAF","Southern Africa","Eastern Asia","Africa","Asia"
2018,410,724,30354,51.7411057396398,94.1670147683039,"KOR","ESP","Southern Europe","Eastern Asia","Europe","Asia"
2018,410,740,30354,147.647,129.149,"KOR","SUR","South America","Eastern Asia","South America","Asia"
2018,410,764,30354,3554.32866828494,6605.80240414758,"KOR","THA","South-Eastern Asia","Eastern Asia","Asia","Asia"
2018,410,768,30354,450.36,464,"KOR","TGO","Western Africa","Eastern Asia","Africa","Asia"
2018,410,784,30354,60.2254230915031,3.53625225778288,"KOR","ARE","Western Asia","Eastern Asia","Asia","Asia"
2018,410,804,30354,39.4524381433631,51.5535940368036,"KOR","UKR","Eastern Europe","Eastern Asia","Europe","Asia"
2018,410,818,30354,1821.92711250378,2049.36755244266,"KOR","EGY","Northern Africa","Eastern Asia","Africa","Asia"
2018,410,834,30354,1794.72044073081,2268.19546250892,"KOR","TZA","Eastern Africa","Eastern Asia","Africa","Asia"
2018,410,842,30354,981.984940939295,190.9601866882,"KOR","USA","Northern America","Eastern Asia","North America","Asia"
2018,410,854,30354,42.6597601672556,54.4010866182257,"KOR","BFA","Western Africa","Eastern Asia","Africa","Asia"
