EU_Commission,Eurostat_Landings
Alive whole,NA
NA,All presentation forms
NA,Claws
NA,Cooked
NA,Cooked frozen and packed
NA,Dried
NA,Dried gutted and headed
NA,Dried not specified
NA,Dried other
NA,Dried whole
NA,Fresh
NA,Fresh alive
Fresh claws,NA
Fresh filleted,Fresh filleted
Fresh filleted skinned,NA
Fresh filleted skinned with pinbone on,NA
Fresh filleted with skin and bones on,NA
Fresh gilled gutted partly headed fins off,NA
Fresh gutted,Fresh gutted
Fresh gutted and headed,Fresh gutted and headed
Fresh gutted gilled,NA
Fresh gutted headed skinned,NA
Fresh gutted headed tail off,NA
Fresh gutted tail off finned,NA
Fresh headed,NA
Fresh headed tail off,NA
Fresh Japanese cut,NA
Fresh Japanese cut tail off,NA
NA,Fresh not specified
NA,Fresh other
NA,Fresh peeled and cleaned
Fresh salted gutted,NA
Fresh salted gutted headed,NA
Fresh tail only (squid),NA
NA,Fresh tails
Fresh whole,Fresh whole
Fresh wings only,NA
NA,Frozen
NA,Frozen clean
Frozen cod butterfly,NA
Frozen filleted,Frozen filleted
Frozen filleted skinned,NA
Frozen filleted skinned with pinbone on,NA
Frozen filleted with skin and bones on,NA
Frozen gutted,Frozen gutted
Frozen gutted and headed,Frozen gutted and headed
Frozen gutted gilled,NA
Frozen gutted headed skinned,NA
Frozen gutted headed tail off,NA
Frozen gutted tail off,NA
Frozen headed,NA
Frozen headed tail off,NA
Frozen Japanese cut,NA
Frozen Japanese cut tail off,NA
Frozen Lappen,NA
NA,Frozen not clean
NA,Frozen not filleted
NA,Frozen not specified
NA,Frozen other
Frozen salted gutted,NA
Frozen salted gutted headed,NA
Frozen surimi,NA
Frozen tail off,NA
Frozen tail only (squid),NA
NA,Frozen tails
Frozen tube only (squid),NA
Frozen whole,Frozen whole
Frozen wings only,NA
Frozen wings only skinned,NA
NA,Presentation unknown
NA,Roes
NA,Salted
NA,Salted gutted
Salted gutted and headed,Salted gutted and headed
NA,Salted not specified
NA,Salted other
Salted salted dry,NA
Salted salted wet light,NA
Salted whole,Salted whole
NA,Smoked
NA,Whole
