scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Sebastes spp,Frozen,filleted,4,2,2,3.37,1.2,2.17
Lophiidae,Frozen,gutted and headed,4,3,3,3.25,1.2,2.05
Sebastes spp,Fresh,filleted,4,2,2,3.37,1.4,1.97
Rajidae,Frozen,wings only,4,3,3,4,2.09,1.91
Coryphaenoides rupestris,Frozen,gutted headed tail off,3,3,3,3.2,1.4,1.8
Lepidonotothen squamifrons,Frozen,filleted skinned,2,1,1,4.54,2.82,1.72
Lophius spp,Frozen,gutted and headed,2,2,2,3.25,1.6,1.65
Coryphaenoides rupestris,Frozen,filleted skinned,7,4,4,3.5,2,1.5
Reinhardtius hippoglossoides,Frozen,filleted,3,1,1,3.77,2.31,1.46
Thunnus thynnus,Frozen,filleted skinned,2,1,1,4,2.56,1.44
Salmo salar,Fresh,filleted,2,2,2,2.8,1.39,1.41
Glyptocephalus cynoglossus,Fresh,filleted,3,2,2,2.7,1.31,1.39
Limanda ferruginea,Fresh,filleted,2,1,1,2.7,1.36,1.34
Macruronus magellanicus,Frozen,gutted headed tail off,2,1,2,2.94,1.6,1.34
Clupea harengus,Fresh,filleted skinned,4,3,3,3.33,2,1.33
Micromesistius poutassou,Fresh,filleted skinned,3,2,2,3.33,2,1.33
Reinhardtius hippoglossoides,Fresh,filleted,3,2,2,2.7,1.4,1.3
Melanogrammus aeglefinus,Fresh,filleted,5,2,2,2.65,1.35,1.3
Anarhichas spp,Fresh,filleted skinned,2,1,1,3.97,2.7,1.27
Anarhichas spp,Frozen,filleted,3,2,2,3.48,2.27,1.21
Macrourus berglax,Fresh,headed,2,2,2,3.2,2,1.2
Reinhardtius hippoglossoides,Fresh,filleted skinned,4,3,3,2.7,1.5,1.2
Pollachius virens,Fresh,filleted,4,2,2,2.9,1.7,1.2
Coryphaenoides rupestris,Fresh,filleted skinned,6,5,5,3.8,2.6,1.2
Raja spp,Fresh,wings only,2,1,1,3.7,2.55,1.15
Macruronus magellanicus,Frozen,gutted and headed,2,2,2,2.63,1.5,1.13
Salmo salar,Fresh,filleted skinned,3,1,1,2.8,1.69,1.11
Lophius piscatorius,Fresh,gutted and headed,8,6,6,3.8,2.72,1.08
Lophiidae,Fresh,filleted,2,2,2,5,3.95,1.05
Merluccius merluccius,Frozen,filleted skinned,3,2,2,3.28,2.27,1.01
Gadus morhua,Salted,salted dry,2,1,1,4.3,3.3,1
Glyptocephalus cynoglossus,Frozen,filleted skinned,2,1,1,3.7,2.7,1
Scomber scombrus,Frozen,filleted,3,3,3,2.6,1.62,0.98
Salmo trutta,Fresh,filleted skinned,2,1,1,2.7,1.75,0.95
Coryphaenoides rupestris,Frozen,gutted and headed,8,5,5,2.3,1.4,0.9
Coryphaenoides rupestris,Frozen,Japanese cut tail off,2,2,2,2.3,1.4,0.9
Micromesistius poutassou,Fresh,filleted,3,3,3,2.9,2,0.9
Gadus morhua,Frozen,filleted skinned,4,3,3,3.48,2.6,0.88
Oncorhynchus mykiss,Fresh,filleted skinned,2,1,1,2.8,1.92,0.88
Platichthys flesus,Fresh,filleted skinned,2,1,1,3.57,2.7,0.87
Gadus morhua,Salted,filleted,2,1,1,4.31,3.5,0.81
Champsocephalus gunnari,Frozen,gutted and headed,2,1,1,2.5,1.7,0.8
Pollachius virens,Frozen,filleted,4,2,2,2.9,2.12,0.78
Melanogrammus aeglefinus,Fresh,filleted skinned,2,1,1,3.37,2.6,0.77
Melanogrammus aeglefinus,Frozen,filleted skinned,3,2,2,3.37,2.6,0.77
Micromesistius poutassou,Frozen,filleted skinned,3,3,3,3.33,2.56,0.77
Hoplostethus atlanticus,Fresh,filleted skinned,2,1,2,4.77,4,0.77
Micromesistius poutassou,Fresh,gutted and headed,4,2,2,1.74,1,0.74
Micromesistius poutassou,Frozen,gutted and headed,4,3,3,1.74,1,0.74
Gadus morhua,Fresh,filleted,5,2,2,2.95,2.25,0.7
Squalus acanthias,Frozen,gutted and headed,4,2,2,2,1.3,0.7
Cyclopterus lumpus,Fresh,gutted and headed,2,1,1,1.65,1,0.65
Cyclopterus lumpus,Frozen,gutted and headed,2,1,1,1.65,1,0.65
Gadus morhua,Fresh,filleted skinned,6,2,2,3.25,2.6,0.65
Genypterus capensis,Frozen,filleted,2,1,2,2.64,2,0.64
Sebastes spp,Fresh,headed,3,2,2,2.04,1.4,0.64
Hippoglossus hippoglossus,Frozen,filleted skinned,2,1,1,2.59,1.95,0.64
Squalus acanthias,Frozen,filleted skinned,2,1,1,3.33,2.7,0.63
Coryphaenoides rupestris,Fresh,filleted,4,3,3,3.2,2.6,0.6
Coryphaenoides rupestris,Fresh,gutted and headed,4,3,3,2,1.4,0.6
Hoplostethus atlanticus,Frozen,gutted and headed,5,1,3,2,1.4,0.6
Macrourus berglax,Fresh,filleted,2,2,2,3.2,2.6,0.6
Macrourus berglax,Fresh,gutted and headed,2,1,1,2,1.4,0.6
Osteichthyes,Frozen,filleted skinned,3,1,3,2.6,2,0.6
Sebastes spp,Fresh,filleted skinned,2,1,1,3.6,3,0.6
Sebastes spp,Frozen,filleted skinned,3,2,2,3.6,3,0.6
Xiphias gladius,Fresh,filleted,2,2,2,2.6,2,0.6
Raja spp,Frozen,gutted and headed,2,1,1,2.09,1.5,0.59
Squalidae,Frozen,filleted skinned,2,1,2,2.59,2,0.59
Sebastes spp,Fresh,gutted and headed,6,4,4,2.02,1.44,0.58
Sebastes spp,Frozen,gutted and headed,11,8,8,2,1.44,0.56
Sprattus sprattus,Fresh,filleted skinned,2,2,2,2.56,2,0.56
Lophiidae,Fresh,gutted and headed,2,2,2,3.04,2.5,0.54
Lophius spp,Fresh,gutted and headed,2,2,2,3.25,2.72,0.53
Molva molva,Fresh,filleted skinned,3,2,2,2.8,2.27,0.53
Molva molva,Frozen,filleted,4,3,3,2.8,2.27,0.53
Cyclopterus lumpus,Fresh,gutted,2,1,1,1.65,1.13,0.52
Merluccius merluccius,Frozen,gutted,7,5,5,1.6,1.09,0.51
Gadus morhua,Frozen,filleted,8,5,5,3.11,2.6,0.51
Merluccius bilinearis,Fresh,gutted,2,2,2,1.67,1.17,0.5
Molva dypterygia,Fresh,filleted,4,3,3,2.8,2.3,0.5
Molva dypterygia,Fresh,filleted skinned,4,2,2,2.8,2.3,0.5
Molva dypterygia,Frozen,filleted skinned,4,2,2,2.8,2.3,0.5
Molva molva,Frozen,filleted skinned,4,2,2,2.8,2.3,0.5
Thunnini,Frozen,gutted and headed,2,1,1,1.5,1,0.5
